db,sn,Abstract
S,1,"Purpose: This study conducts a systematic review using 452 academic and industry articles from an initial set of 60,899 records obtained by 3 databases from 2012 to 2020. The authors compare and contrast blockchains with existing legacy systems. The authors identify existing regulation, accounting standards, guidelines and potential amendments in under-explored areas such as taxation, accounting treatment of crypto-assets/liabilities and detailed auditing procedures. The study aims to highlight the trends, differences and gaps between academic and industry literature. The authors provide a behavioral, social, cultural, organizational, regulatory, ethical, accountability and managerial perspectives of blockchain adoption in accounting. Finally, the study develops two adoption frameworks. Design/methodology/approach: The authors' study follows (Moher et al., 2009) and (Briner and Denyer, 2012) methodology to conduct the systematic review and the steps are mentioned below. The authors construct a final sample of 452 from a preliminary search of three multi-disciplinary databases from 2012 to 2020. First, the authors motivate the review and formulate the research questions. Second, the authors aggregate relevant literature from both industry and academia and implement quality assessments. Third, the authors analyze the literature and construct the final sample of articles. Fourth, the authors conducted textual analysis, keyword frequencies and identify gaps, trends and similarities between academic and industry literature and develop the authors' frameworks Findings: The authors identify 3 (ABDC, B and A* ranked) journals as publishing top article numbers with the highest article count for 2017 with 96 articles in academia and 2019 for the industry with 21 articles. Second-highest publications for academia occur in 2018 with 77 followed by, whereas in the industry, publications occur in the year 2016 with 16 articles. Two co-authors appear most popular with 103 articles. Word clouds, a mind map and article theme counts are used to identify nine key research clusters: data management, financial applications, sustainability, accounting and auditing, business and industrial, education, governance, privacy/security and disruptive technology. Research limitations/implications: Systematic reviews can have selection biases mainly due to search and selection criteria distortions when constructing the final sample of articles. The authors address selection bias by refining our search keyword combinations by using different permutations and using keywords from articles already collected. The authors employ three databases and review the reference list of articles collected to add more articles that may have been missed into our sample. In addition, to avoid inconsistent coding of domains/themes and interpretations, the authors carefully review our domain identifications and all our analysis twice independently using two research assistants to obtain the same conclusions. Practical implications: The authors' unique contributions include reviewing additional papers, differentiating between industry, academic articles, common trends and gaps in much scattered prior literature. The authors identify existing accounting standards, guidelines, limitations and possible amendments required in future for blockchain adoption in accounting in taxation, accounting treatment of crypto-assets/liabilities and detailed audit procedures. Blockchains are compared with legacy accounting technologies and two frameworks for adoption developed. The authors' results could impact the understanding of existing regulation, accounting standards, future amendments, areas requiring clarity and future collaborative research between academia and industry across multi-disciplines. Practical implications to academics, professional bodies, regulators and industry practitioners exist. Social implications: The authors' study identifies significant implications on organizations, environment, culture and society in general. The authors identify that social engagement projects may be easily initiated and implemented with decentralized accounting information systems. Transparency and efficiency would change organization culture, ways accountants and even employees interact with each other and community. Anonymity in blockchains can be used for criminal activities. Coding of negative social dynamics to smart contracts may persist. Transparency of personally identifiable information may place individuals at risk. Regulation and standards would need to identify equity, ethics in blockchains which notwithstanding energy consumption, and could enable environmental protection increasing societal sustainability. Originality/value: To the authors' knowledge, this is the first study that compares academic and industry literature of 452 articles to identify gaps and similarities from 2012 to 2020 using three multi-disciplinary databases. The authors' study is the first study to in detail existing accounting standards, unclear areas, future amendments for International Financial Reporting Standards (IFRS) standards on taxation, financial reporting and all aspects of auditing procedures. The authors further categorize prior literature into these key areas and develop two frameworks (DAERPS and DAIS) that are linked to our review results and prior literature. The authors identify the impact of blockchain adoption on key stakeholders, regulation, society, culture, organization, accountability and ethics. © 2022, Emerald Publishing Limited."
S,2,"Environmental problems in China are urgent so that resource and environmental auditing is becoming more and more important. The objectives of this study are to introduce spatial and emerging information technologies and its applications in resource and environmental auditing. We synthesized characteristics and advantages of GIS applications and auditing application cases, implemented by National Audit Office of P. R. China, Nanjing Branch and Wuhan Branch, from the practice perspective. In the future, spatial information technology combining with emerging information technologies, including Big Data, Internet of Things, Cloud Computing, Augmented Reality (AR) Technique, large distributed and mobile network will improve the reliability of audit evidences and enhance the auditing conclusions and functions, especially resource and environmental auditing. © Springer-Verlag Berlin Heidelberg 2013."
S,3,"Assuring future performance of systems-of-systems through advanced-technology investments is a perpetual challenge of industry and agencies. Among the complicating factors are technology innovation, escalating scales, and diversity of software and hardware applications, increasing availability and scrutiny of big data, and evolving business, environmental, and legal contexts. These factors are engaging system owner/operators to continually reprioritize these investments, even as transparent principles for investment are needed for appropriate oversight and auditing. In this paper, a branch of resilience analysis offers to address multiple layers of uncertainty that arise from technology plans around future disruptions to large-scale systems-of-systems. The paper presents a methodology to quantify and manage the disruptive influence of individual systems perspectives to the prioritization of technology investments across the system-of-systems. The methodology is demonstrated through a case study on an information technology investment portfolio of the US Department of Commerce, USA. The experience suggests how fiscal limitations, combining with several other factors, has the largest disruption to the prioritization of investments. The results furthermore describe how investments perform relative to one another and characterize where the system-of-systems might be resilient to the perspectives of constituent systems. Abbreviations: BEA: Bureau of Economic Analysis; BIS: Bureau of Industry and Security; DOC: United States Department of Commerce; FY: Fiscal Year; IT: Information Technology; MCDA: Multicriteria Decision Analysis; NOAA: National Oceaic and Atmospheric Administration; NTIA: National Telecommunications and Information Administration; USPTO: United States Patent and Trademark Office. © 2019 Informa UK Limited, trading as Taylor & Francis Group."
S,4,"The use real-time analysis of big data necessitates auditors modify their evidence-gathering procedures of employing continuous auditing in assuring sustainability attributes. We suggest a model that integrates assurance and its continuous auditing into all five economic, governance, social, ethical and environmental (EGSEE) dimensions of sustainability performance reporting. Real-time analysis of big data facilitates more transparent and timely available information for auditors to perform procedures provide reasonable assurance on accuracy, consistency and completeness of information. Big Data is often referred to as electronic data and is the capability of accessing, analysing, and assessing a huge amount of data and transforming them into information in a timely manner for decision making. The application of Big Data and Data Science Analytics to auditing is currently at an early stage. This study examines the real-time analysis of big data, which including evidence-gathering procedures and tests on audit and assurance services for sustainability attributes. We provide policy, practical and educational implications of employing real-time analysis of big data for sustainability performance as the implementation of continues auditing."
S,5,"Purpose: This study conducts a systematic review using 452 academic and industry articles from an initial set of 60,899 records obtained by 3 databases from 2012 to 2020. The authors compare and contrast blockchains with existing legacy systems. The authors identify existing regulation, accounting standards, guidelines and potential amendments in under-explored areas such as taxation, accounting treatment of crypto-assets/liabilities and detailed auditing procedures. The study aims to highlight the trends, differences and gaps between academic and industry literature. The authors provide a behavioral, social, cultural, organizational, regulatory, ethical, accountability and managerial perspectives of blockchain adoption in accounting. Finally, the study develops two adoption frameworks. Design/methodology/approach: The authors' study follows (Moher et al., 2009) and (Briner and Denyer, 2012) methodology to conduct the systematic review and the steps are mentioned below. The authors construct a final sample of 452 from a preliminary search of three multi-disciplinary databases from 2012 to 2020. First, the authors motivate the review and formulate the research questions. Second, the authors aggregate relevant literature from both industry and academia and implement quality assessments. Third, the authors analyze the literature and construct the final sample of articles. Fourth, the authors conducted textual analysis, keyword frequencies and identify gaps, trends and similarities between academic and industry literature and develop the authors' frameworks Findings: The authors identify 3 (ABDC, B and A* ranked) journals as publishing top article numbers with the highest article count for 2017 with 96 articles in academia and 2019 for the industry with 21 articles. Second-highest publications for academia occur in 2018 with 77 followed by, whereas in the industry, publications occur in the year 2016 with 16 articles. Two co-authors appear most popular with 103 articles. Word clouds, a mind map and article theme counts are used to identify nine key research clusters: data management, financial applications, sustainability, accounting and auditing, business and industrial, education, governance, privacy/security and disruptive technology. Research limitations/implications: Systematic reviews can have selection biases mainly due to search and selection criteria distortions when constructing the final sample of articles. The authors address selection bias by refining our search keyword combinations by using different permutations and using keywords from articles already collected. The authors employ three databases and review the reference list of articles collected to add more articles that may have been missed into our sample. In addition, to avoid inconsistent coding of domains/themes and interpretations, the authors carefully review our domain identifications and all our analysis twice independently using two research assistants to obtain the same conclusions. Practical implications: The authors' unique contributions include reviewing additional papers, differentiating between industry, academic articles, common trends and gaps in much scattered prior literature. The authors identify existing accounting standards, guidelines, limitations and possible amendments required in future for blockchain adoption in accounting in taxation, accounting treatment of crypto-assets/liabilities and detailed audit procedures. Blockchains are compared with legacy accounting technologies and two frameworks for adoption developed. The authors' results could impact the understanding of existing regulation, accounting standards, future amendments, areas requiring clarity and future collaborative research between academia and industry across multi-disciplines. Practical implications to academics, professional bodies, regulators and industry practitioners exist. Social implications: The authors' study identifies significant implications on organizations, environment, culture and society in general. The authors identify that social engagement projects may be easily initiated and implemented with decentralized accounting information systems. Transparency and efficiency would change organization culture, ways accountants and even employees interact with each other and community. Anonymity in blockchains can be used for criminal activities. Coding of negative social dynamics to smart contracts may persist. Transparency of personally identifiable information may place individuals at risk. Regulation and standards would need to identify equity, ethics in blockchains which notwithstanding energy consumption, and could enable environmental protection increasing societal sustainability. Originality/value: To the authors' knowledge, this is the first study that compares academic and industry literature of 452 articles to identify gaps and similarities from 2012 to 2020 using three multi-disciplinary databases. The authors' study is the first study to in detail existing accounting standards, unclear areas, future amendments for International Financial Reporting Standards (IFRS) standards on taxation, financial reporting and all aspects of auditing procedures. The authors further categorize prior literature into these key areas and develop two frameworks (DAERPS and DAIS) that are linked to our review results and prior literature. The authors identify the impact of blockchain adoption on key stakeholders, regulation, society, culture, organization, accountability and ethics. © 2022, Emerald Publishing Limited."
S,6,"Big data is the huge amount of data that is continuously produced by tools and technologies such as credit cards and customer loyalty cards, Internet and social media, Wi-Fi sensors, and electronic tagging. This study aims to review the literature on big data analysis and its integration in the accounting process. The study uses the secondary research to do a systematic review of the literature on big data analysis in the accounting profession. Despite the relative growth of technology in the accounting profession and extensive research in the big data analysis field, there are not enough academic review studies on using big data analysis in accounting. This chapter clarifies the issue of big data analysis in accounting and the opportunities that arise from it. The findings show that big data can improve accounting in several areas including data asset valuation, decision-making, risk management, and internal and independent auditing. The findings draw some implications for using big data analysis to enhance sustainability accounting in tropics. © 2022 selection and editorial matter, Jacob Wood, Taha Chaiechi and K Thirumaran; individual chapters, the contributors."
S,7,"Purpose: This study aims to provide an empirically informed view on the auditing profession’s readiness to embrace “disruptive” technologies. Relying on evidence from Big 4 employees in Italy, this study examines the factors that motivate auditors to use blockchain technology (BT). Design/methodology/approach: To this aim, this study uses an integrated theoretical frame merging the third version of the technology acceptance model (TAM3) and the unified theory of acceptance and use of technology (UTAUT). The analytical model is based on an application of the structural equation modelling with partial least square estimation on data gathered through a Likert-based questionnaire. Findings: The findings reveal that the main predictors of auditors’ intention to use blockchain are performance expectancy and social influence. Moreover, auditors’ effort expectancy in relation to this technology implementation and use appears to be a reasonably reliable predictor. Originality/value: This paper contributes an evidence-based view to the discussion on the impact of automation and disruptive information and communication technologies, on the roles of accounting and auditing professionals. It uses a novel approach to analysis by integrating TAM3 and UTAUT within its theoretical model. It complements and extends the field of studies on technology acceptance by offering fresh insights into auditors’ perceptions. Finally, the paper highlights practical implications for business leaders aiming to use the advantages of BT in audit firms. © 2020, Emerald Publishing Limited."
S,8,"The widespread application of big data has had a profound impact on social and economic development. Government auditing is the guarantee for the modernization of national governance, and the development of big data audit capability has become the key to improving national governance capability. This paper summarizes the concept of government audit big data capability, and constructs the influencing factor model of government audit big data capability. This study finds that the construction degree of audit big data platform, big data management ability, big data audit technology and auditors' big data technology ability have a significant positive impact on the government audit big data ability, and the audit organization coordination ability plays a positive moderating effect in the whole impact process. This study provides guidance for the improvement and development of government audit big data capability.  © 2021 ACM."
S,9,"Social networks, smartphones, mobile applications.. produce an avalanche of data on a large-scale and in an unstructured way. The phenomenon Big Data was born in order to address the different challenges including data storing, data analysis, data querying and so on. Technological advances always carry new security vulnerabilities that are not taken into consideration at the beginning. Security aspects usually require time to be addressed. The information system security is the set of measures to prevent any failure or threat including unauthorized accesses. Perfect protection must contain the four basic building blocks that are: authentication, access control, auditing, and encryption. In our work, we are specifically interested in access control. We first analyze the well-known access control models that were applied to Big Data. We then investigate the most important security projects. Most of these approaches and projects rely mainly on coarse-grained access control policies. In this work, we propose a novel approach called H-RCBAC that relies on two known models: the role-based access control (RBAC) and the content-based access control (CBAC). H-RCBAC is a new architecture that refines the access control process by considering a set of taboo words to guarantee fine-grained access control. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd."
S,10,"The UK audit profession is facing a crisis of public trust and legitimacy following a series of high-profile audit failures. This resulted in the executive leadership of UK audit firms being summoned before a House of Commons Select Committee as part of its inquiry into ‘the future of audit’. During this inquiry the audit executives walked a tightrope, to both defend the social contract from an existential threat and attempt to influence policy reforms in their favour. This paper draws on ‘neutralisation techniques’ from deviance theory and the ‘grammar of legitimation’ from legitimacy theory to inform a discursive analysis of how auditors use strategic rhetoric to defend their professionalism and maintain their social contract to operate, all the while attempting to affect policy outcomes to align with their firms’ economic interests. Data for this study are drawn from the ‘oral evidence sessions’ and submitted ‘written evidence’ provided by the audit firm leadership. Our findings illustrate how the auditors construct a variety of strategic rationalisations, couched in moral ideals, to effectively deny responsibility for corporate financial scandals while simultaneously identifying with the ‘victims’ of audit failures and representing themselves ‘heroically’, as indispensable solution-bearers, not problem-causers. Their application of logic and language is cleverly designed to defend existing practices, neutralize the allegations of the inquiry, and provide the basis for advocating preferred policy outcomes. We show how, in this UK regulatory context, the Big Four are again successful in diluting and delaying reform, especially that which would legislate a full legal and economic split of their lucrative advisory service business from their audit business - a union which has grown in prominence in recent decades and been the focus of accusations of conflicted interests detrimental to audit quality. Evaluating legitimacy as a rhetorical and communicative process can aid regulators to render visible the means by which auditors use rhetoric to influence reform, and thereby improve democratic oversight over the profession. © 2023 Elsevier Ltd"
