"","social","environmental","auditing","machine","learning","cloud","storage","blockchain","financial","transparency","accountability","big","data","governance","systems","information","technology"
"social",1,0.0558471442267115,0.133179053811084,0.0793358862185331,-0.0444108853625086,-0.177283857856972,-0.205733072268,0.334988501138007,0.689455457188146,0.582317070217451,0.57792583852152,-0.0267690484414159,-0.159549873566593,0.33771522669614,0.247322679000637,0.202310020888725,-0.0436911616419953
"environmental",0.0558471442267115,1,0.258538748505406,-0.142803064085037,-0.141184107039204,-0.0693484134876647,-0.135821809089932,0.0663884970540758,0.228402654049324,0.146283803352141,0.13956195451077,-0.0797951549457164,-0.199696632524588,0.0453685539935774,0.109301512760987,0.458673411517968,0.269476047047801
"auditing",0.133179053811084,0.258538748505406,1,-0.245847831134165,-0.233392289920594,0.148506608305094,0.0390048368996819,0.228480551354076,0.4481496725692,0.208564743935422,0.301078897553485,-0.068793072792902,-0.0676915600291855,0.0420167398861486,0.142787010754919,0.56088776211152,0.072391256359132
"machine",0.0793358862185331,-0.142803064085037,-0.245847831134165,1,0.726417203446617,-0.118448912059958,-0.123842800609565,-0.151904228100366,-0.151658511585249,0.0569953963537037,-0.00582604454806448,-0.144522855032291,-0.19514918719946,0.00512593642325445,0.00131042804942175,-0.169965984004364,-0.158641326036175
"learning",-0.0444108853625086,-0.141184107039204,-0.233392289920594,0.726417203446617,1,-0.117106057815342,-0.122438795899252,-0.150182091240414,-0.149939160411207,0.0474368602552512,-0.0397713922090295,-0.15205503514756,-0.198130912252909,-0.0398186150087766,0.0185081676925528,-0.172779037065193,-0.18448816759365
"cloud",-0.177283857856972,-0.0693484134876647,0.148506608305094,-0.118448912059958,-0.117106057815342,1,0.885172086776361,-0.0944736914733714,-0.137961874190632,-0.120361446825312,-0.114830749418293,-0.013337602740827,0.364318978309316,-0.13989003094034,-0.167742714662461,-0.148073970269695,-0.0266678422868106
"storage",-0.205733072268,-0.135821809089932,0.0390048368996819,-0.123842800609565,-0.122438795899252,0.885172086776361,1,-0.00737132866575027,-0.144244337748445,-0.125842427769371,-0.120059875238517,-0.0315896173434609,0.352801926760741,-0.146260298281515,-0.0925870973201706,-0.14341709485382,0.0386061700592968
"blockchain",0.334988501138007,0.0663884970540758,0.228480551354076,-0.151904228100366,-0.150182091240414,-0.0944736914733714,-0.00737132866575027,1,0.464150172164914,0.476640688542531,0.45473869675252,-0.206478688416026,-0.214641513729269,0.0854291838902144,0.512686431325553,0.0757782712031449,0.139102101814493
"financial",0.689455457188146,0.228402654049324,0.4481496725692,-0.151658511585249,-0.149939160411207,-0.137961874190632,-0.144244337748445,0.464150172164914,1,0.647681582201345,0.649792887365969,-0.168331169927024,-0.224377037975673,0.269571238112061,0.448872283399388,0.484311072396215,-0.052649729913958
"transparency",0.582317070217451,0.146283803352141,0.208564743935422,0.0569953963537037,0.0474368602552512,-0.120361446825312,-0.125842427769371,0.476640688542531,0.647681582201345,1,0.90699193883101,-0.141781088049687,-0.184645872678944,0.423374009903295,0.579240288171069,0.223397988599993,-0.0120300617472016
"accountability",0.57792583852152,0.13956195451077,0.301078897553485,-0.00582604454806448,-0.0397713922090295,-0.114830749418293,-0.120059875238517,0.45473869675252,0.649792887365969,0.90699193883101,1,-0.183687047746551,-0.251579951589007,0.403919661351222,0.492035486612166,0.26318657434546,0.0250145661374141
"big",-0.0267690484414159,-0.0797951549457164,-0.068793072792902,-0.144522855032291,-0.15205503514756,-0.013337602740827,-0.0315896173434609,-0.206478688416026,-0.168331169927024,-0.141781088049687,-0.183687047746551,1,0.68436858786906,0.22977718245283,-0.0763080600398931,0.0720960320897309,0.240717280678447
"data",-0.159549873566593,-0.199696632524588,-0.0676915600291855,-0.19514918719946,-0.198130912252909,0.364318978309316,0.352801926760741,-0.214641513729269,-0.224377037975673,-0.184645872678944,-0.251579951589007,0.68436858786906,1,-0.028994145005422,-0.136181505535411,-0.0234254552111725,-0.00130334789149777
"governance",0.33771522669614,0.0453685539935774,0.0420167398861486,0.00512593642325445,-0.0398186150087766,-0.13989003094034,-0.146260298281515,0.0854291838902144,0.269571238112061,0.423374009903295,0.403919661351222,0.22977718245283,-0.028994145005422,1,0.273415723034893,0.0767130590061277,0.050231389664245
"systems",0.247322679000637,0.109301512760987,0.142787010754919,0.00131042804942175,0.0185081676925528,-0.167742714662461,-0.0925870973201706,0.512686431325553,0.448872283399388,0.579240288171069,0.492035486612166,-0.0763080600398931,-0.136181505535411,0.273415723034893,1,0.340476218425815,0.199572521697854
"information",0.202310020888725,0.458673411517968,0.56088776211152,-0.169965984004364,-0.172779037065193,-0.148073970269695,-0.14341709485382,0.0757782712031449,0.484311072396215,0.223397988599993,0.26318657434546,0.0720960320897309,-0.0234254552111725,0.0767130590061277,0.340476218425815,1,0.311044263476348
"technology",-0.0436911616419953,0.269476047047801,0.072391256359132,-0.158641326036175,-0.18448816759365,-0.0266678422868106,0.0386061700592968,0.139102101814493,-0.052649729913958,-0.0120300617472016,0.0250145661374141,0.240717280678447,-0.00130334789149777,0.050231389664245,0.199572521697854,0.311044263476348,1
